zip-code,population,white-count,white-non-hispanic-count,black-count,native-american-count,asian-count,hawaiian-pacific-count,other-count,two-or-more-count,two-or-more-other-count,two-or-more-not-other-count
93410,0,0,0,0,0,0,0,0,0,0,0
93420,29940,25512,22299,121,361,1475,92,1044,1335,280,1055
93422,33221,30431,25670,356,122,750,31,422,1109,189,920
93424,684,599,599,0,0,52,0,0,33,0,33
93426,1839,1724,1353,71,6,7,0,8,23,0,23
93427,5757,4861,3564,137,45,22,0,476,216,0,216
93428,6155,5440,4602,25,0,201,0,337,152,26,126
93429,147,121,29,8,0,0,0,18,0,0,0
93430,3101,2974,2568,7,0,87,0,10,23,0,23
93432,990,934,729,0,10,0,0,12,34,0,34
93433,13524,10822,7952,330,297,427,126,1101,421,51,370
93434,7313,4968,462,28,133,298,0,1732,154,32,122
93436,56606,37987,21672,2546,1010,1704,227,8885,4247,924,3323
93437,3450,2271,1749,292,36,186,25,63,577,22,555
93440,1601,1463,934,0,0,70,0,68,0,0,0
93441,996,863,769,10,0,16,42,52,13,0,13
93442,11084,10121,8966,140,97,317,0,161,248,68,180
93444,20049,16822,11736,349,92,554,0,1505,727,228,499
93445,7714,5923,3180,0,54,449,0,814,474,73,401
93446,44911,40023,28584,752,254,513,0,2230,1139,174,965
93449,8060,7239,6772,131,16,181,0,164,329,9,320
93450,853,725,91,0,0,8,0,120,0,0,0
93451,4189,3478,2069,11,8,55,0,518,119,5,114
93452,728,631,212,0,0,16,0,79,2,0,2
93453,3345,3243,3099,57,0,0,0,0,45,0,45
93454,40333,29501,9850,762,218,2013,82,6465,1292,291,1001
93455,44490,36793,25711,509,297,2226,145,2523,1997,303,1694
93458,56702,41880,5520,533,245,2555,9,10316,1164,253,911
93460,4886,4051,3611,9,241,117,0,79,389,58,331
93461,1545,1470,832,34,0,3,0,21,17,6,11
93463,8011,6957,5550,40,45,205,0,563,201,0,201
93465,8905,8109,7259,18,219,45,0,199,315,59,256
93501,5063,3061,1877,941,12,28,58,854,109,0,109
93505,13445,7665,5219,3200,229,511,35,908,897,251,646
93510,7836,6612,5753,152,17,133,0,746,176,12,164
93512,293,180,180,0,110,2,0,1,0,0,0
93513,1715,1141,872,8,416,46,11,33,60,0,60
93514,14574,12076,9914,121,1392,222,23,312,428,140,288
93516,2425,1545,1383,177,39,50,0,426,188,13,175
93517,658,425,414,2,83,4,0,143,1,0,1
93518,995,847,780,0,36,6,0,53,53,46,7
93519,28,28,28,0,0,0,0,0,0,0,0
93522,34,34,34,0,0,0,0,0,0,0,0
93523,3312,2726,2369,218,6,47,0,63,252,8,244
93524,168,107,98,28,5,18,8,2,0,0,0
93526,640,532,481,1,82,2,0,6,17,0,17
93527,1852,1777,1693,13,0,24,0,0,38,23,15
93528,124,98,98,0,0,26,0,0,0,0,0
93529,383,297,294,0,0,0,0,86,0,0,0
93530,10,10,10,0,0,0,0,0,0,0,0
93531,422,391,391,0,0,0,0,31,0,0,0
93532,2857,2463,2013,41,25,31,0,222,75,11,64
93534,39166,24218,12240,9130,283,1534,121,2393,1487,255,1232
93535,73728,47647,20174,15765,290,2203,122,4857,2844,982,1862
93536,71303,47570,32309,11511,554,3585,49,4065,3969,610,3359
93541,506,496,474,5,0,5,0,0,0,0,0
