GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US92123,92123,ZCTA5 92123,31028,1342
8600000US92124,92124,ZCTA5 92124,32126,992
8600000US92126,92126,ZCTA5 92126,81883,1871
8600000US92127,92127,ZCTA5 92127,45980,1392
8600000US92128,92128,ZCTA5 92128,50473,1287
8600000US92129,92129,ZCTA5 92129,54577,1262
8600000US92130,92130,ZCTA5 92130,54495,1610
8600000US92131,92131,ZCTA5 92131,34414,1236
8600000US92132,92132,ZCTA5 92132,0,12
8600000US92134,92134,ZCTA5 92134,258,235
8600000US92135,92135,ZCTA5 92135,944,423
8600000US92139,92139,ZCTA5 92139,36836,1266
8600000US92140,92140,ZCTA5 92140,3348,549
8600000US92145,92145,ZCTA5 92145,2159,423
8600000US92147,92147,ZCTA5 92147,562,238
8600000US92154,92154,ZCTA5 92154,87218,2207
8600000US92155,92155,ZCTA5 92155,486,158
8600000US92173,92173,ZCTA5 92173,31728,1026
8600000US92201,92201,ZCTA5 92201,64283,1227
8600000US92203,92203,ZCTA5 92203,30945,1555
8600000US92210,92210,ZCTA5 92210,5060,83
8600000US92211,92211,ZCTA5 92211,25015,1167
8600000US92220,92220,ZCTA5 92220,33016,499
8600000US92222,92222,ZCTA5 92222,0,12
8600000US92223,92223,ZCTA5 92223,52129,862
8600000US92225,92225,ZCTA5 92225,21966,540
8600000US92227,92227,ZCTA5 92227,27358,267
8600000US92230,92230,ZCTA5 92230,3962,764
8600000US92231,92231,ZCTA5 92231,40054,98
8600000US92233,92233,ZCTA5 92233,7653,163
8600000US92234,92234,ZCTA5 92234,53717,59
8600000US92236,92236,ZCTA5 92236,44523,199
8600000US92239,92239,ZCTA5 92239,164,70
8600000US92240,92240,ZCTA5 92240,35434,1034
8600000US92241,92241,ZCTA5 92241,7936,793
8600000US92242,92242,ZCTA5 92242,1209,186
8600000US92243,92243,ZCTA5 92243,49915,759
8600000US92249,92249,ZCTA5 92249,8166,980
8600000US92250,92250,ZCTA5 92250,8689,342
8600000US92251,92251,ZCTA5 92251,22813,582
8600000US92252,92252,ZCTA5 92252,9232,1063
8600000US92253,92253,ZCTA5 92253,39955,188
8600000US92254,92254,ZCTA5 92254,11550,1268
8600000US92256,92256,ZCTA5 92256,3250,366
8600000US92257,92257,ZCTA5 92257,1610,408
8600000US92258,92258,ZCTA5 92258,685,382
8600000US92259,92259,ZCTA5 92259,181,119
8600000US92260,92260,ZCTA5 92260,34091,904
8600000US92262,92262,ZCTA5 92262,28377,554
8600000US92264,92264,ZCTA5 92264,19664,549
8600000US92266,92266,ZCTA5 92266,103,73
8600000US92267,92267,ZCTA5 92267,5,7
8600000US92268,92268,ZCTA5 92268,539,135
8600000US92270,92270,ZCTA5 92270,17975,38
8600000US92273,92273,ZCTA5 92273,1665,434
8600000US92274,92274,ZCTA5 92274,17298,1471
8600000US92275,92275,ZCTA5 92275,2139,502
8600000US92276,92276,ZCTA5 92276,7278,905
8600000US92277,92277,ZCTA5 92277,23978,675
8600000US92278,92278,ZCTA5 92278,4154,543
8600000US92280,92280,ZCTA5 92280,17,23
8600000US92281,92281,ZCTA5 92281,2576,350
8600000US92282,92282,ZCTA5 92282,1498,267
8600000US92283,92283,ZCTA5 92283,1970,290
8600000US92284,92284,ZCTA5 92284,26000,494
8600000US92285,92285,ZCTA5 92285,2597,488
8600000US92301,92301,ZCTA5 92301,33347,193
8600000US92304,92304,ZCTA5 92304,23,30
8600000US92305,92305,ZCTA5 92305,507,162
8600000US92307,92307,ZCTA5 92307,38304,1218
8600000US92308,92308,ZCTA5 92308,41442,1238
8600000US92309,92309,ZCTA5 92309,656,226
8600000US92310,92310,ZCTA5 92310,9053,934
8600000US92311,92311,ZCTA5 92311,33938,1007
8600000US92313,92313,ZCTA5 92313,12478,67
8600000US92314,92314,ZCTA5 92314,11309,878
8600000US92315,92315,ZCTA5 92315,5255,80
8600000US92316,92316,ZCTA5 92316,29304,1459
8600000US92320,92320,ZCTA5 92320,8457,67
8600000US92321,92321,ZCTA5 92321,1210,390
8600000US92322,92322,ZCTA5 92322,719,347
8600000US92324,92324,ZCTA5 92324,58650,764
8600000US92325,92325,ZCTA5 92325,8789,965
8600000US92327,92327,ZCTA5 92327,718,398
8600000US92328,92328,ZCTA5 92328,320,87
8600000US92332,92332,ZCTA5 92332,11,13
8600000US92333,92333,ZCTA5 92333,300,128
8600000US92335,92335,ZCTA5 92335,99791,2346
8600000US92336,92336,ZCTA5 92336,94327,1765
8600000US92337,92337,ZCTA5 92337,38938,1129
8600000US92338,92338,ZCTA5 92338,0,12
8600000US92339,92339,ZCTA5 92339,1295,225
8600000US92341,92341,ZCTA5 92341,232,116
8600000US92342,92342,ZCTA5 92342,7096,977
8600000US92344,92344,ZCTA5 92344,23275,1532
8600000US92345,92345,ZCTA5 92345,80910,1412
8600000US92346,92346,ZCTA5 92346,60424,1795
8600000US92347,92347,ZCTA5 92347,917,442
8600000US92352,92352,ZCTA5 92352,6237,866
8600000US92354,92354,ZCTA5 92354,21341,807
8600000US92356,92356,ZCTA5 92356,6239,638
8600000US92358,92358,ZCTA5 92358,954,230
8600000US92359,92359,ZCTA5 92359,8913,667
8600000US92363,92363,ZCTA5 92363,5384,96
8600000US92364,92364,ZCTA5 92364,0,12
8600000US92365,92365,ZCTA5 92365,2763,593
8600000US92368,92368,ZCTA5 92368,941,198
8600000US92371,92371,ZCTA5 92371,17799,1587
8600000US92372,92372,ZCTA5 92372,6228,1053
8600000US92373,92373,ZCTA5 92373,34063,1239
8600000US92374,92374,ZCTA5 92374,42579,1062
8600000US92376,92376,ZCTA5 92376,86937,1814
8600000US92377,92377,ZCTA5 92377,19490,1204
8600000US92378,92378,ZCTA5 92378,211,145
8600000US92382,92382,ZCTA5 92382,4822,686
8600000US92384,92384,ZCTA5 92384,17,16
8600000US92385,92385,ZCTA5 92385,289,143
8600000US92386,92386,ZCTA5 92386,2004,474
8600000US92389,92389,ZCTA5 92389,153,58
8600000US92391,92391,ZCTA5 92391,2738,688
8600000US92392,92392,ZCTA5 92392,57678,2776
8600000US92394,92394,ZCTA5 92394,35528,2250
8600000US92395,92395,ZCTA5 92395,41785,1824
8600000US92397,92397,ZCTA5 92397,4457,622
8600000US92398,92398,ZCTA5 92398,2058,750
8600000US92399,92399,ZCTA5 92399,54027,339
8600000US92401,92401,ZCTA5 92401,2030,468
8600000US92404,92404,ZCTA5 92404,60850,2160
